Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/544V-L10,Lithium Iron Phosphate,"80.51 kW, 80.51 kWh, lithium iron phosphate battery, with 17 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,80.51,80.51,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/576V-E10,Lithium Iron Phosphate,"42.62 kW, 85.24 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,85.245,42.6225,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/576V-E15,Lithium Iron Phosphate,"42.62 kW, 85.24 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,85.245,42.6225,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/576V-J10,Lithium Iron Phosphate,"85.25 kW, 85.25 kWh, lithium iron phosphate battery, with 18 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,85.25,85.25,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/576V-L10,Lithium Iron Phosphate,"85.25 kW, 85.25 kWh, lithium iron phosphate battery, with 18 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,85.25,85.25,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/576V-J10,Lithium Iron Phosphate,"85.25 kW, 85.25 kWh, lithium iron phosphate battery, with 15 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,85.25,85.25,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/576V-L10,Lithium Iron Phosphate,"85.25 kW, 85.25 kWh, lithium iron phosphate battery, with 15 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,85.25,85.25,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/576V-L15,Lithium Iron Phosphate,"85.25 kW, 85.25 kWh, lithium iron phosphate battery, with 15 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,85.25,85.25,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/608V-J10,Lithium Iron Phosphate,"89.98 kW, 89.98 kWh, lithium iron phosphate battery, with 19 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,89.98,89.98,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/608V-L10,Lithium Iron Phosphate,"89.98 kW, 89.98 kWh, lithium iron phosphate battery, with 19 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,89.98,89.98,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/614.4V-E10,Lithium Iron Phosphate,"45.46 kW, 90.92 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,90.928,45.464,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/614.4V-E15,Lithium Iron Phosphate,"45.46 kW, 90.92 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,90.928,45.464,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/614.4V-J10,Lithium Iron Phosphate,"90.93 kW, 90.93 kWh, lithium iron phosphate battery, with 16 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,90.93,90.93,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/614.4V-L10,Lithium Iron Phosphate,"90.93 kW, 90.93 kWh, lithium iron phosphate battery, with 16 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,90.93,90.93,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/614.4V-L15,Lithium Iron Phosphate,"90.93 kW, 90.93 kWh, lithium iron phosphate battery, with 16 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,90.93,90.93,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/384V-E15,Lithium Iron Phosphate,"47.04 kW, 94.08 kWh, lithium iron phosphate battery, with 6 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,94.08,47.04,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/384V-L15,Lithium Iron Phosphate,"47.04 kW, 94.08 kWh, lithium iron phosphate battery, with 6 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,94.08,47.04,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/640V-J10,Lithium Iron Phosphate,"94.72 kW, 94.72 kWh, lithium iron phosphate battery, with 20 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,94.72,94.72,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/640V-L10,Lithium Iron Phosphate,"94.72 kW, 94.72 kWh, lithium iron phosphate battery, with 20 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,94.72,94.72,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/652.8V-J10,Lithium Iron Phosphate,"96.61 kW, 96.61 kWh, lithium iron phosphate battery, with 17 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,96.61,96.61,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/652.8V-L10,Lithium Iron Phosphate,"96.61 kW, 96.61 kWh, lithium iron phosphate battery, with 17 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,96.61,96.61,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/652.8V-L15,Lithium Iron Phosphate,"96.61 kW, 96.61 kWh, lithium iron phosphate battery, with 17 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,96.61,96.61,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/652.8V-E10,Lithium Iron Phosphate,"48.30 kW, 96.61 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,96.611,48.3055,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/652.8V-E15,Lithium Iron Phosphate,"48.30 kW, 96.61 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,96.611,48.3055,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/672V-J10,Lithium Iron Phosphate,"99.46 kW, 99.46 kWh, lithium iron phosphate battery, with 21 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,99.46,99.46,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/672V-L10,Lithium Iron Phosphate,"99.46 kW, 99.46 kWh, lithium iron phosphate battery, with 21 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,99.46,99.46,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/691.2V-E10,Lithium Iron Phosphate,"51.14 kW, 102.29 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,102.294,51.147,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/691.2V-E15,Lithium Iron Phosphate,"51.14 kW, 102.29 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,102.294,51.147,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/691.2V-J10,Lithium Iron Phosphate,"102.3 kW, 102.3 kWh, lithium iron phosphate battery, with 18 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,102.3,102.3,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/691.2V-L10,Lithium Iron Phosphate,"102.3 kW, 102.3 kWh, lithium iron phosphate battery, with 18 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,102.3,102.3,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/691.2V-L15,Lithium Iron Phosphate,"102.3 kW, 102.3 kWh, lithium iron phosphate battery, with 18 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,102.3,102.3,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/704V-J10,Lithium Iron Phosphate,"104.19 kW, 104.19 kWh, lithium iron phosphate battery, with 22 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,104.19,104.19,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/704V-L10,Lithium Iron Phosphate,"104.19 kW, 104.19 kWh, lithium iron phosphate battery, with 22 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,104.19,104.19,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/729.6V-E10,Lithium Iron Phosphate,"53.98 kW, 107.97 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,107.977,53.9885,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/729.6V-E15,Lithium Iron Phosphate,"53.98 kW, 107.97 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,107.977,53.9885,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/729.6V-J10,Lithium Iron Phosphate,"107.98 kW, 107.98 kWh, lithium iron phosphate battery, with 19 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,107.98,107.98,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/729.6V-L10,Lithium Iron Phosphate,"107.98 kW, 107.98 kWh, lithium iron phosphate battery, with 19 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,107.98,107.98,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/729.6V-L15,Lithium Iron Phosphate,"107.98 kW, 107.98 kWh, lithium iron phosphate battery, with 19 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,107.98,107.98,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/736V-J10,Lithium Iron Phosphate,"108.93 kW, 108.93 kWh, lithium iron phosphate battery, with 23 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,108.93,108.93,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/736V-L10,Lithium Iron Phosphate,"108.93 kW, 108.93 kWh, lithium iron phosphate battery, with 23 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,108.93,108.93,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/448V-E15,Lithium Iron Phosphate,"54.88 kW, 109.76 kWh, lithium iron phosphate battery, with 7 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,109.76,54.88,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/448V-L15,Lithium Iron Phosphate,"54.88 kW, 109.76 kWh, lithium iron phosphate battery, with 7 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,109.76,54.88,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/768V-J10,Lithium Iron Phosphate,"113.66 kW, 113.66 kWh, lithium iron phosphate battery, with 24 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,113.66,113.66,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/768V-L10,Lithium Iron Phosphate,"113.66 kW, 113.66 kWh, lithium iron phosphate battery, with 24 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,113.66,113.66,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/768V-E10,Lithium Iron Phosphate,"56.83 kW, 113.66 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,113.66,56.83,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/768V-E15,Lithium Iron Phosphate,"56.83 kW, 113.66 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,113.66,56.83,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/768V-J10,Lithium Iron Phosphate,"113.66 kW, 113.66 kWh, lithium iron phosphate battery, with 20 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,113.66,113.66,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/768V-L10,Lithium Iron Phosphate,"113.66 kW, 113.66 kWh, lithium iron phosphate battery, with 20 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,113.66,113.66,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/768V-L15,Lithium Iron Phosphate,"113.66 kW, 113.66 kWh, lithium iron phosphate battery, with 20 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,113.66,113.66,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/800V-J10,Lithium Iron Phosphate,"118.4 kW, 118.4 kWh, lithium iron phosphate battery, with 25 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,118.4,118.4,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/800V-L10,Lithium Iron Phosphate,"118.4 kW, 118.4 kWh, lithium iron phosphate battery, with 25 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,118.4,118.4,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/806.4V-E10,Lithium Iron Phosphate,"59.67 kW, 119.34 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,119.343,59.6715,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/806.4V-E15,Lithium Iron Phosphate,"59.67 kW, 119.34 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,119.343,59.6715,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/806.4V-J10,Lithium Iron Phosphate,"119.35 kW, 119.35 kWh, lithium iron phosphate battery, with 21 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,119.35,119.35,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/806.4V-L10,Lithium Iron Phosphate,"119.35 kW, 119.35 kWh, lithium iron phosphate battery, with 21 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,119.35,119.35,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/806.4V-L15,Lithium Iron Phosphate,"119.35 kW, 119.35 kWh, lithium iron phosphate battery, with 21 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,119.35,119.35,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/832V-J10,Lithium Iron Phosphate,"123.14 kW, 123.14 kWh, lithium iron phosphate battery, with 26 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,123.14,123.14,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/832V-L10,Lithium Iron Phosphate,"123.14 kW, 123.14 kWh, lithium iron phosphate battery, with 26 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,123.14,123.14,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/844.8V-E10,Lithium Iron Phosphate,"62.51 kW, 125.02 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,125.026,62.513,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/844.8V-E15,Lithium Iron Phosphate,"62.51 kW, 125.02 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,125.026,62.513,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/844.8V-J10,Lithium Iron Phosphate,"125.03 kW, 125.03 kWh, lithium iron phosphate battery, with 22 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,125.03,125.03,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/844.8V-L10,Lithium Iron Phosphate,"125.03 kW, 125.03 kWh, lithium iron phosphate battery, with 22 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,125.03,125.03,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/844.8V-L15,Lithium Iron Phosphate,"125.03 kW, 125.03 kWh, lithium iron phosphate battery, with 22 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,125.03,125.03,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/512V-E15,Lithium Iron Phosphate,"62.72 kW, 125.44 kWh, lithium iron phosphate battery, with 8 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,125.44,62.72,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/512V-L15,Lithium Iron Phosphate,"62.72 kW, 125.44 kWh, lithium iron phosphate battery, with 8 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,125.44,62.72,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/864V-J10,Lithium Iron Phosphate,"127.87 kW, 127.87 kWh, lithium iron phosphate battery, with 27 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,127.87,127.87,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/864V-L10,Lithium Iron Phosphate,"127.87 kW, 127.87 kWh, lithium iron phosphate battery, with 27 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,127.87,127.87,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/883.2V-E10,Lithium Iron Phosphate,"65.35 kW, 130.70 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,130.709,65.3545,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/883.2V-E15,Lithium Iron Phosphate,"65.35 kW, 130.70 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,130.709,65.3545,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/883.2V-J10,Lithium Iron Phosphate,"130.71 kW, 130.71 kWh, lithium iron phosphate battery, with 23 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,130.71,130.71,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/883.2V-L10,Lithium Iron Phosphate,"130.71 kW, 130.71 kWh, lithium iron phosphate battery, with 23 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,130.71,130.71,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/883.2V-L15,Lithium Iron Phosphate,"130.71 kW, 130.71 kWh, lithium iron phosphate battery, with 23 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,130.71,130.71,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/921.6V-E15,Lithium Iron Phosphate,"68.19 kW, 136.39 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,136.392,68.196,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/921.6V-L15,Lithium Iron Phosphate,"136.4 kW, 136.4 kWh, lithium iron phosphate battery, with 24 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,136.4,136.4,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/576V-E15,Lithium Iron Phosphate,"70.56 kW, 141.12 kWh, lithium iron phosphate battery, with 9 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,141.12,70.56,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/576V-L15,Lithium Iron Phosphate,"70.56 kW, 141.12 kWh, lithium iron phosphate battery, with 9 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,141.12,70.56,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/960V-E15,Lithium Iron Phosphate,"71.03 kW, 142.07 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,142.075,71.0375,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/960V-L15,Lithium Iron Phosphate,"142.08 kW, 142.08 kWh, lithium iron phosphate battery, with 25 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,142.08,142.08,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/998.4V-E15,Lithium Iron Phosphate,"73.87 kW, 147.75 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,147.758,73.879,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/998.4V-L15,Lithium Iron Phosphate,"147.76 kW, 147.76 kWh, lithium iron phosphate battery, with 26 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,147.76,147.76,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1036.8V-E15,Lithium Iron Phosphate,"76.72 kW, 153.44 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,153.441,76.7205,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1036.8V-L15,Lithium Iron Phosphate,"153.45 kW, 153.45 kWh, lithium iron phosphate battery, with 27 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,153.45,153.45,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/640V-E15,Lithium Iron Phosphate,"78.4 kW, 156.8 kWh, lithium iron phosphate battery, with 10 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,156.8,78.4,No Information Submitted,No Information Submitted,N,,11/01/2024,
